PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
1OneilO CruzCruzOF1‌‌‌,PIT,8,21,7,5,0,0,2,10,5,12,4,0,.238,.393,.524,.917
1RyanR MountcastleMountcastle1B1‌‌‌,BAL,8,22,5,6,1,0,3,10,1,3,0,0,.273,.292,.727,1.019
1GavinG SheetsSheets1B1‌‌‌,SD,11,29,7,12,0,0,6,10,2,7,0,0,.414,.452,1.034,1.486
1TrayceT ThompsonThompsonRF1‌‌‌,BOS,12,19,7,6,1,0,4,10,8,8,2,0,.316,.536,1.000,1.536
1MattM WallnerWallnerRF1‌‌‌,MIN,9,33,6,10,2,0,4,10,2,11,0,0,.303,.361,.727,1.088
6MattM ChapmanChapman3B6‌‌‌,SF,9,22,8,11,0,0,3,9,4,4,1,0,.500,.577,.909,1.486
6JerarJ EncarnacionEncarnacionRF6‌‌‌,SF,12,33,3,10,4,0,1,9,0,6,0,0,.303,.294,.515,.809
6JakeJ MangumMangumCF6‌‌‌,TB,9,19,3,9,2,0,2,9,1,2,1,2,.474,.500,.895,1.395
6HunterH RenfroeRenfroeRF6‌‌‌,KC,7,17,5,7,3,1,1,9,3,4,1,0,.412,.524,.882,1.406
6CoreyC SeagerSeagerSS6‌‌‌,TEX,9,22,5,5,2,0,1,9,5,4,0,0,.227,.370,.455,.825
6DominicDo SmithSmith1B6‌‌‌,NYY,7,21,1,8,1,0,1,9,0,4,0,0,.381,.364,.571,.935
6JamesJ WoodWoodLF6‌‌‌,WSH,9,27,9,10,4,0,4,9,3,9,0,0,.370,.433,.963,1.396
13ErnieE ClementClement3B13‌‌‌,TOR,7,18,4,8,1,0,2,8,0,4,0,0,.444,.450,.833,1.283
13BrandonB DruryDrury2B13‌‌‌,CWS,7,22,3,10,5,0,2,8,1,4,0,0,.455,.478,.955,1.433
13PaulP GoldschmidtGoldschmidt1B13‌‌‌,NYY,8,21,6,8,2,0,3,8,3,4,0,0,.381,.458,.905,1.363
13RandalR GrichukGrichukRF13‌‌‌,AZ,6,15,2,7,2,0,2,8,1,2,0,0,.467,.500,1.000,1.500
13JoseJ MirandaMiranda3B13‌‌‌,MIN,8,24,2,7,1,0,1,8,4,5,1,0,.292,.379,.458,.837
13JulioJ RodríguezRodríguezCF13‌‌‌,SEA,8,24,5,7,2,0,3,8,1,6,1,0,.292,.320,.750,1.070
13KeibertK RuizRuizC13‌‌‌,WSH,7,21,3,5,0,0,3,8,1,3,0,0,.238,.292,.667,.959
13CésarC SalazarSalazarC13‌‌‌,HOU,6,14,3,6,0,0,2,8,1,0,0,0,.429,.467,.857,1.324
13LaneL ThomasThomasRF13‌‌‌,CLE,8,22,5,5,1,0,2,8,3,6,0,1,.227,.346,.545,.891
13AbrahamA ToroToro3B13‌‌‌,BOS,12,22,3,8,2,1,2,8,3,7,0,0,.364,.440,.818,1.258
13ChristianC YelichYelichLF13‌‌‌,MIL,7,19,4,6,0,0,3,8,2,4,0,0,.316,.381,.789,1.170
