teamName,playerName,position,updated,injury,injuryStatus
Anaheim,John Gibson,G,"Thu, Mar 6",Lower Body,Day-to-Day
Anaheim,Robby Fabbri,C,"Wed, Mar 5",Upper Body,IR. Expected to be out until at least Mar 11
Anaheim,Brock McGinn,LW,"Mon, Jan 27",Lower Body,IR. Expected to be out until at least Sep 15
Boston,Brad Marchand,LW,"Tue, Mar 4",Upper Body,Expected to be out until at least Mar 11
Boston,Charlie McAvoy,D,"Sun, Feb 23",Shoulder,IR. Expected to be out until at least Mar 11
Boston,Hampus Lindholm,D,"Sun, Feb 23",Kneecap,IR. Expected to be out until at least May 1
Buffalo,Jason Zucker,LW,"Fri, Mar 7",Lower Body,Day-to-Day
Buffalo,Jack Quinn,RW,"Thu, Mar 6",Illness,Day-to-Day
Buffalo,Jordan Greenway,LW,"Thu, Mar 6",Illness,Day-to-Day
Calgary,Anthony Mantha,RW,"Mon, Jan 27",Knee,IR. Expected to be out until at least Sep 15
Calgary,Justin Kirkland,LW,"Mon, Jan 27",Knee,IR. Expected to be out until at least Sep 15
Carolina,Dmitry Orlov,D,"Fri, Mar 7",Undisclosed,Day-to-Day
Carolina,Riley Stillman,D,"Thu, Mar 6",Face,Day-to-Day
Carolina,William Carrier,LW,"Sun, Mar 2",Lower Body,Expected to be out until at least Mar 30
Carolina,Jesper Fast,RW,"Mon, Jan 27",Neck,IR. Expected to be out until at least Sep 15
Chicago,Laurent Brossoit,G,"Thu, Mar 6",Knee,IR. Expected to be out until at least Sep 15
Chicago,Philipp Kurashev,C,"Mon, Mar 3",Hand,IR. Expected to be out until at least Mar 7
Chicago,Jason Dickinson,C,"Sat, Feb 22",Ankle,IR. Expected to be out until at least Mar 13
Colorado,Gabriel Landeskog,LW,"Mon, Mar 3",Knee,IR. Expected to be out until at least Apr 17
Columbus,Cole Sillinger,C,"Tue, Mar 4",Shoulder,IR. Expected to be out until at least Mar 24
Columbus,Erik Gudbranson,D,"Tue, Mar 4",Shoulder,IR. Expected to be out until at least Apr 1
Columbus,Sean Monahan,C,"Tue, Mar 4",Wrist,IR. Expected to be out until at least Mar 24
Columbus,Kevin Labanc,RW,"Fri, Feb 21",Shoulder,IR. Expected to be out until at least Sep 20
Dallas,Miro Heiskanen,D,"Tue, Feb 4",Knee,IR. Expected to be out until at least Mar 31
Dallas,Nils Lundkvist,D,"Sat, Feb 1",Shoulder,IR. Expected to be out until at least Sep 21
Dallas,Tyler Seguin,C,"Sat, Feb 1",Hip,IR. Expected to be out until at least Apr 3
Detroit,Carter Mazur,LW,"Thu, Mar 6",Upper Body,Expected to be out until at least Mar 12
Detroit,Andrew Copp,C,"Tue, Feb 25",Pectoral,IR. Expected to be out until at least Sep 15
Detroit,Jeff Petry,D,"Mon, Feb 3",Undisclosed,IR. Expected to be out until at least Apr 1
Edmonton,John Klingberg,D,"Fri, Mar 7",Undisclosed,Day-to-Day
Edmonton,Mattias Ekholm,D,"Fri, Mar 7",Undisclosed,Day-to-Day
Edmonton,Alec Regula,D,"Thu, Feb 27",Knee,IR. Expected to be out until at least Mar 18
Edmonton,Evander Kane,LW,"Fri, Feb 21",Knee,IR. Expected to be out until at least Mar 8
Florida,Matthew Tkachuk,LW,"Mon, Mar 3",Groin,IR. Expected to be out until at least Apr 17
Minnesota,Jonas Brodin,D,"Sun, Mar 2",Lower Body,Expected to be out until at least Mar 15
Minnesota,Joel Eriksson Ek,C,"Tue, Feb 25",Undisclosed,IR. Expected to be out until at least Mar 11
Minnesota,Kirill Kaprizov,LW,"Sat, Feb 22",Lower Body,IR. Expected to be out until at least Mar 9
Montreal,Michael Pezzetta,LW,"Fri, Mar 7",Lower Body,Day-to-Day
Montreal,Kirby Dach,C,"Sun, Mar 2",Knee,IR. Expected to be out until at least Sep 15
Montreal,Kaiden Guhle,D,"Sat, Mar 1",Quadriceps,Expected to be out until at least Mar 30
Montreal,Carey Price,G,"Mon, Jan 27",Knee,IR. Expected to be out until at least Sep 23
Nashville,Roman Josi,D,"Thu, Mar 6",Upper Body,IR. Expected to be out until at least Mar 18
Nashville,Zachary L'Heureux,LW,"Tue, Mar 4",Upper Body,IR. Expected to be out until at least Mar 8
Nashville,Michael Bunting,LW,"Thu, Feb 27",Abdomen,IR. Expected to be out until at least Mar 18
